Date ,Country,Factory,Style #,Style description,Inspection Type,PO,Order QTY,Status,Exit Factory Date,Brand,QTY of Inspection Date Changes,Date Report Emailed to Factory,Comments
"Tuesday, 17 February 2026",,,,No schedule,,,,,,,,,
"Wednesday, 18 February 2026",,,,Go to Kadena by car and bus reached about 11 am,,,,,,,,,
"Wednesday, 18 February 2026",Bangladesh,Kadena Sportwear Ltd,5004-005 ,XC LITE PANT,2nd Inline,3634,959,,28/02/2026,KLIM,,,
"Wednesday, 18 February 2026",Bangladesh,Kadena Sportwear Ltd,5021-001 ,XC Pro Pant,2nd Inline,3634,877,,28/02/2026,KLIM,,,
"Wednesday, 18 February 2026",Bangladesh,Kadena Sportwear Ltd,3142-004, DARKAR PANT OTB,1st Inline,3634,1827,,28/02/2026,KLIM,,,
,,,,"Back to home by bus & car, reached home about 11 pm",,,,,,,,,
"Thursday, 19 February 2026",,,,No schedule,,,,,,,,,
"Friday, 20 February 2026",,,,,,,,,,,,,
"Saturday, 21 February 2026",,,,Shaheed day and int mother language day,,,,,,,,,
"Sunday, 22 February 2026",,,,No schedule,,,,,,,,,
"Monday, 23 February 2026",,,,Go to Kadena by car and bus reached about 11am,,,,,,,,,
"Monday, 23 February 2026",Bangladesh,Kadena Sportwear Ltd,3182-005 ,DAKAR PANT ITB,1st Inline,3634,1217,,28/02/2026,KLIM,,,
"Monday, 23 February 2026",Bangladesh,Kadena Sportwear Ltd,3122-002 ,DAKAR JACKET,1st Inline,3634,1487,,28/02/2026,,,,
,Bangladesh,Kadena Sportwear Ltd,3142-004, DARKAR PANT OTB,2nd Inline,3634,1827,,28/02/2026,KLIM,,,
,,,,"Back to home by bus & car, reached home about 11pm",,,,,,,,,
"Tuesday, 24 February 2026",Bangladesh,Kadena Sportwear Ltd,3333-002,FORECAST JACKET,2nd Inline,3568.1,998,,,KLIM,,,"Balanace qty fm 1864 pcs,Prv ship qty 866 pcs "
"Wednesday, 25 February 2026",,,,Go to Kadena by car and bus reached about 11 am,,,,,,,,,
"Wednesday, 25 February 2026",Bangladesh,Kadena Sportwear Ltd,3917-001 ,SWITCHBACK CARGO PANT,1st Inline,3634,1091,,28/02/2026,KLIM,,,
"Wednesday, 25 February 2026",Bangladesh,Kadena Sportwear Ltd,3122-002 ,DAKAR JACKET,2nd Inline,3634,1487,,28/02/2026,KLIM,,,not ready for 2nd inline
"Wednesday, 25 February 2026",Bangladesh,Kadena Sportwear Ltd,3182-005 ,DAKAR PANT ITB,2nd Inline,3634,1217,,28/02/2026,KLIM,,,
,,,,"Back to home by bus & car, reached home about 11 pm",,,,,,,,,
"Thursday, 26 February 2026",,,,No schedule,,,,,,,,,
"Friday, 27 February 2026",,,,,,,,,,,,,
"Saturday, 28 February 2026",,,,Go to Kadena by car and bus reached about 11 am,,,,,,,,,
"Saturday, 28 February 2026",Bangladesh,Kadena Sportwear Ltd,5021-001 ,XC Pro Pant,FINAL,3634,877,,28/02/2026,KLIM,,,
"Saturday, 28 February 2026",Bangladesh,Kadena Sportwear Ltd,5004-005 ,XC LITE PANT,FINAL,3634,959,,28/02/2026,KLIM,,,
,,,,"Back to home by bus & car, reached home about 11 pm",,,,,,,,,
"Sunday, 1 March 2026",,,,,,,,,,,,,
"Monday, 2 March 2026",,,,,,,,,,,,,
"Tuesday, 3 March 2026",,,,,,,,,,,,,
"Wednesday, 4 March 2026",,,,Go to Kadena by car and bus reached about 11am,,,,,,,,,
"Wednesday, 4 March 2026",Bangladesh,Kadena Sportwear Ltd,3182-005 ,DAKAR PANT ITB,FINAL,3634,1217,Pass,28/02/2026,KLIM,,,
"Wednesday, 4 March 2026",Bangladesh,Kadena Sportwear Ltd,3142-004, DARKAR PANT OTB,FINAL,3634,1827,Pass,28/02/2026,KLIM,,,
,,,,"Back to home by bus & car, reached home about 11 pm",,,,,,,,,
"Thursday, 5 March 2026",Bangladesh,Kadena Sportwear Ltd,3917-001 ,SWITCHBACK CARGO PANT,2nd Inline,3634,1091,,28/02/2026,KLIM,,,
"Thursday, 5 March 2026",Bangladesh,Kadena Sportwear Ltd,3122-002 ,DAKAR JACKET,2nd Inline,3634,1487,,28/02/2026,KLIM,,,
"Thursday, 5 March 2026",,,,"Back to home by bus & car, reached home about 11 pm",,,,,,,,,
"Friday, 6 March 2026",,,,,,,,,,,,,
"Saturday, 7 March 2026",,,,,,,,,,,,,
"Sunday, 8 March 2026",,,,Go to Kadena by car and bus reached about 11am,,,,,,,,,
"Sunday, 8 March 2026",Bangladesh,Kadena Sportwear Ltd,3917-001 ,SWITCHBACK CARGO PANT,FINAL,3634,1091,Pass,28/02/2026,KLIM,,,
"Sunday, 8 March 2026",Bangladesh,Kadena Sportwear Ltd,3122-002 ,DAKAR JACKET,FINAL,3634,1487,Pass,28/02/2026,KLIM,,,
"Monday, 9 March 2026",Bangladesh,Kadena Sportwear Ltd,3333-002,FORECAST JACKET,FINAL,3568.1,998,Pass,,KLIM,,,
"Tuesday, 10 March 2026",,,,"Back to home by bus & car, reached home about 11 pm",,,,,,,,,
"Tuesday, 10 March 2026",,,,,,,,,,,,,
"Wednesday, 11 March 2026",,,,,,,,,,,,,
"Thursday, 12 March 2026",,,,Go to Kadena by car and bus reached about 11am,,,,,,,,,
"Thursday, 12 March 2026",Bangladesh,Kadena Sportwear Ltd,3121-002,FORECAST PANT,Inline,3568.1,995,Fail,,KLIM,,,
"Thursday, 12 March 2026",,,,"Back to home by bus & car, reached home about ",,,,,,,,,
"Friday, 13 March 2026",,,,,,,,,,,,,
"Saturday, 14 March 2026",,,,,,,,,,,,,
"Sunday, 15 March 2026",,,,,,,,,,,,,
"Monday, 16 March 2026",,,,Go to Kadena by car and bus reached about 11am,,,,,,,,,
"Tuesday, 17 March 2026",Bangladesh,Kadena Sportwear Ltd,3121-002,FORECAST PANT,FINAL,3568.1,995,Pass,,KLIM,,,
"Wednesday, 18 March 2026",,,,"Back to home by bus & car, reached home about 11 pm",,,,,,,,,
"Thursday, 19 March 2026",,,,,,,,,,,,,
"Friday, 20 March 2026",,,,Jummatul Bida,,,,,,,,,
"Saturday, 21 March 2026",,,,,,,,,,,,,
"Sunday, 22 March 2026",,,,Eid Al Fitr fesival,,,,,,,,,
"Monday, 23 March 2026",,,,,,,,,,,,,
"Tuesday, 24 March 2026",,,,,,,,,,,,,
"Wednesday, 25 March 2026",,,,,,,,,,,,,
"Thursday, 26 March 2026",,,,Independence  day,,,,,,,,,
"Friday, 27 March 2026",,,,,,,,,,,,,
